Date,Ticker,Price,DailyRetMult,CloseLog10,DailyRetLogDiff
8/27/2018,VOX,87.79,xx,,
8/24/2018,VOX,87.15,xx,,
8/23/2018,VOX,85.98,xx,,
8/22/2018,VOX,86.43,xx,,
8/21/2018,VOX,86.51,xx,,
8/20/2018,VOX,86.15,xx,,
8/17/2018,VOX,86.06,xx,,
8/16/2018,VOX,86.18,xx,,
8/15/2018,VOX,86.13,xx,,
8/14/2018,VOX,87.14,xx,,
8/13/2018,VOX,86.33,xx,,
8/10/2018,VOX,86.5,xx,,
8/9/2018,VOX,87.088,xx,,
8/8/2018,VOX,86.36,xx,,
8/7/2018,VOX,86.56,xx,,
8/6/2018,VOX,86.44,xx,,
8/3/2018,VOX,85.23,xx,,
8/2/2018,VOX,84.84,xx,,
8/1/2018,VOX,84.2,xx,,
7/31/2018,VOX,84.42,xx,,
7/30/2018,VOX,84.22,xx,,
7/27/2018,VOX,84.65,xx,,
7/26/2018,VOX,85.3,xx,,
7/25/2018,VOX,86.68,xx,,
7/24/2018,VOX,86.85,xx,,
7/23/2018,VOX,86.16,xx,,
7/20/2018,VOX,85.97,xx,,
7/19/2018,VOX,86.3,xx,,
7/18/2018,VOX,86.98,xx,,
7/17/2018,VOX,87.5,xx,,
7/16/2018,VOX,87.66,xx,,
7/13/2018,VOX,87.89,xx,,
7/12/2018,VOX,88.11,xx,,
7/11/2018,VOX,87.18,xx,,
7/10/2018,VOX,88.03,xx,,
7/9/2018,VOX,87.75,xx,,
7/6/2018,VOX,87.37,xx,,
7/5/2018,VOX,86.39,xx,,
7/3/2018,VOX,84.75,xx,,
7/2/2018,VOX,85.19,xx,,
6/29/2018,VOX,84.92,xx,,
6/28/2018,VOX,85.26,xx,,
6/27/2018,VOX,84.14301,xx,,
6/26/2018,VOX,84.99523,xx,,
6/25/2018,VOX,84.88623,xx,,
6/22/2018,VOX,85.96638,xx,,
6/21/2018,VOX,85.44117,xx,,
6/20/2018,VOX,86.15466,xx,,
6/19/2018,VOX,86.20421,xx,,
6/18/2018,VOX,85.70872,xx,,
6/15/2018,VOX,85.96638,xx,,
6/14/2018,VOX,85.47089,xx,,
6/13/2018,VOX,83.86552,xx,,
6/12/2018,VOX,84.98532,xx,,
6/11/2018,VOX,84.4502,xx,,
6/8/2018,VOX,84.00426,xx,,
6/7/2018,VOX,83.79616,xx,,
6/6/2018,VOX,83.5286,xx,,
6/5/2018,VOX,83.16194,xx,,
6/4/2018,VOX,82.87456,xx,,
6/1/2018,VOX,82.46827,xx,,
5/31/2018,VOX,81.83405,xx,,
5/30/2018,VOX,82.79529,xx,,
5/29/2018,VOX,81.53676,xx,,
5/25/2018,VOX,81.83405,xx,,
5/24/2018,VOX,82.68628,xx,,
5/23/2018,VOX,82.8151,xx,,
5/22/2018,VOX,83.23131,xx,,
5/21/2018,VOX,83.25113,xx,,
